,Total_years,censored,Baseline,Predicted_income,Married,Male,ACGC,Celebrity breakfast,Golf,Personal_connection,Mean_Pred_Total_years,Med_Pred_Total_years
1574,7.47159479808,1,1,1.98482253892,1.0,1.0,False,False,False,True,26.5000401825,26.4805961207
1588,11.0198494182,1,1,-1.86121632096,1.0,1.0,False,False,False,False,21.4294463574,21.5015366754
1589,7.66598220397,1,1,-0.354650163847,0.0,0.0,False,False,False,True,18.0374349794,17.8666624784
1607,7.94524298426,1,1,0.795177699844,1.0,1.0,False,True,False,False,6.75641051755,6.41537556086
1625,11.9945242984,1,1,0.849189563242,0.0,0.0,False,False,False,False,18.7515944282,18.5611658954
1646,10.9815195072,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
1654,12.2628336756,1,1,-0.479908346296,0.0,0.0,False,False,False,False,16.9803993632,16.9608288709
1665,12.295687885,1,1,-0.485486354687,0.0,0.0,False,False,False,True,17.9484759205,17.799955447
1666,11.0143737166,1,1,0.849189563242,1.0,1.0,False,False,False,True,24.5688700931,24.5170917675
1667,12.3394934976,1,1,-0.485486354687,1.0,1.0,False,False,False,True,23.0356946589,23.0533011151
1679,12.2984257358,1,1,1.98482253892,1.0,1.0,False,False,False,True,26.5000401825,26.4805961207
1684,12.9993155373,1,1,-0.153950801874,0.0,1.0,False,False,False,True,30.7590418249,30.6049522053
1715,13.4182067077,1,1,0.849189563242,1.0,0.0,False,False,False,True,14.893786794,14.9058859677
1765,13.9082819986,1,1,-0.833879647473,1.0,1.0,False,False,False,False,22.4950372525,22.4824553283
1776,2.55167693361,1,1,0.849189563242,1.0,1.0,False,False,False,False,24.8649619841,24.8633876654
1777,14.1546885695,1,1,-1.94567275953,0.0,1.0,False,False,False,True,28.1111686185,28.207524483
1778,16.0930869268,1,1,1.98482253892,1.0,0.0,False,False,False,True,16.0992054009,16.0097174648
1788,10.0123203285,1,1,-0.642594620385,0.0,1.0,False,False,False,True,29.9768550609,29.9339731584
1795,13.1334702259,1,1,1.98482253892,1.0,0.0,False,False,False,False,16.7953068716,16.6638701473
1822,16.8898015058,1,1,-0.833879647473,0.0,0.0,True,False,False,False,15.0182631771,14.9201705623
1829,18.1108829569,1,1,-1.45455479511,0.0,0.0,True,False,False,False,14.4609390156,14.4133953543
1840,17.4127310062,1,1,-0.746215206143,0.0,0.0,True,False,False,False,15.1019234612,14.9873452052
1850,19.6960985626,1,1,-0.746215206143,1.0,1.0,False,False,False,False,22.5991485327,22.6339741199
1854,21.7056810404,1,1,-0.907034690716,1.0,1.0,True,False,False,False,19.3043957038,19.2844024384
1924,29.9575633128,1,1,-1.10676955513,1.0,1.0,False,False,False,False,22.1844663029,22.2660030263
1934,37.8754277892,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
1937,15.8466803559,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
1939,23.6796714579,1,1,-0.84534878151,1.0,1.0,False,False,False,True,22.7370163272,22.7904225125
1944,28.9965776865,1,1,0.530402152101,1.0,1.0,False,False,False,False,24.3655535223,24.31930911
1953,34.9212867899,1,1,-0.153950801874,0.0,1.0,False,False,False,False,29.2093921413,29.0871737088
1956,41.3853524983,1,1,-0.153950801874,1.0,0.0,False,False,False,False,14.3186223007,14.3034503729
1961,41.8918548939,1,1,-0.153950801874,0.0,1.0,False,False,False,False,29.2093921413,29.0871737088
1962,28.8213552361,1,1,1.98482253892,1.0,1.0,False,False,False,False,26.5765808783,26.4940223095
1965,31.0061601643,1,1,-0.153950801874,1.0,1.0,False,False,False,False,23.359512112,23.368828193
